Continent,Country,Date of First Case(s),Last_Country,Confirmed Case(s) at First Day,Age of First Case(s),Date of First Death(s),Age of First Death(s)
Africa,Sierra Leone,31-Mar-20,France,1,37,23-Apr-20,"76,69"
Africa,Burundi,31-Mar-20,United Arab Emirates,2,"56,42",13-Apr-20,No Trace
Africa,Malawi,01-Apr-20,India,3,"63, N/A, N/A",07-Apr-20,51
Africa,Western Sahara,04-Apr-20,No Trace,1,No Trace,No death till 16 May 2020,N/A
Africa,South Sudan,05-Apr-20,Ethiopia,1,29,14-May-20,51
Africa,Sao Tome and Principe,06-Apr-20,No Trace,4,No Trace,30-Apr-20,55
Asia,Yemen,10-Apr-20,No Trace,1,60,29-Apr-20,No Trace
Africa,Comoros,30-Apr-20,France,1,50,07-May-20,No Trace
Asia,Tajikistan,30-Apr-20,No Trace,15,No Trace,02-May-20,No Trace
Africa,Lesotho,13-May-20,Saudi Arabia,1,No Trace,"No death till May 16, 2020.",N/A
,,,,,,,
,*This is not a country. This is a ship. The name of the Cruise Ship was not given from the government.,,,,,,
,"""N+"":  the age is not specified but greater than N",,,,,,
,“No Trace”:  some data was not found ,,,,,,
,“Unspecified”: not available from the authority,,,,,,
,"“N/A”: for “Last Visited Country(s) of Confirmed Case(s)” column, “N/A” indicates that the confirmed case(s) of those countries do not have any travel history in recent past; in “Age of First Death(s)” column “N/A” indicates that those countries do not have may death case till May 16, 2020.",,,,,,
